Depth,roughness,to_m0,to_0_grad
0.0,0,1000,0
1.049999582407699,0,1000,0
2.099999164815398,0,1000,0
3.1499987472230973,0,1000,0
4.199998329630796,0,1000,0
5.249997912038495,0,1000,0
6.299997494446194,0,1000,0
7.349997076853892,0,1000,0
8.399996659261591,0,1000,0
9.44999624166929,0,1000,0
10.499995824076988,0,1000,0
11.549995406484687,0,1000,0
12.599994988892385,0,1000,0
13.649994571300084,0,1000,0
14.699994153707783,0,1000,0
15.749993736115481,0,1000,0
16.799993318523182,0,1000,0
17.849992900930882,0,1000,0
18.899992483338583,0,1000,0
19.949992065746283,0,1000,0
20.999991648153983,0,1000,0
20.999991648153983,0,1000,0
21.999991971275932,0,1000,0
22.99999229439788,0,1000,0
23.99999261751983,0,1000,0
24.99999294064178,0,1000,0
25.999993263763727,0,1000,0
26.999993586885676,0,1000,0
27.999993910007625,0,1000,0
28.999994233129573,0,1000,0
29.999994556251522,0,1000,0
30.99999487937347,0,1000,0
31.99999520249542,0,1000,0
32.999995525617365,0,1000,0
33.99999584873931,0,1000,0
34.999996171861255,0,1000,0
35.9999964949832,0,1000,0
36.999996818105146,0,1000,0
37.99999714122709,0,1000,0
38.999997464349036,0,1000,0
39.99999778747098,0,1000,0
40.99999778747098,0,1000,0
41.999998305861276,0,1000,0
42.99999882425157,0,1000,0
43.999999342641864,0,1000,0
44.99999986103216,0,1000,0
46.00000037942245,0,1000,0
47.00000089781275,0,1000,0
48.00000141620304,0,1000,0
49.000001934593335,0,1000,0
50.00000245298363,0,1000,0
51.000002971373924,0,1000,0
52.00000348976422,0,1000,0
53.00000400815451,0,1000,0
54.00000452654481,0,1000,0
55.0000050449351,0,1000,0
56.000005563325395,0,1000,0
57.00000608171569,0,1000,0
58.00000660010598,0,1000,0
59.00000711849628,0,1000,0
60.00000763688657,0,1000,0
70.00000763688658,0,1000,0
71.03449013216635,0,1000,0
72.06897262744613,0,1000,0
73.1034551227259,0,1000,0
74.13793761800568,0,1000,0
75.17242011328545,0,1000,0
76.20690260856523,0,1000,0
77.241385103845,0,1000,0
78.27586759912478,0,1000,0
79.31035009440455,0,1000,0
80.34483258968433,0,1000,0
81.3793150849641,0,1000,0
82.41379758024388,0,1000,0
83.44828007552366,0,1000,0
84.48276257080343,0,1000,0
85.5172450660832,0,1000,0
86.55172756136298,0,1000,0
87.58621005664276,0,1000,0
88.62069255192253,0,1000,0
89.6551750472023,0,1000,0
90.68965754248208,0,1000,0
91.72414003776186,0,1000,0
92.75862253304163,0,1000,0
93.7931050283214,0,1000,0
94.82758752360118,0,1000,0
95.86207001888096,0,1000,0
96.89655251416073,0,1000,0
97.9310350094405,0,1000,0
98.96551750472028,0,1000,0
